Code,Countries,Rate,Violence
AFG,Afghanistan,63.7,74
ALB,Albania,92.4,77
DZA,Algeria,97.5,86
ARG,Argentina,98.6,72
ARM,Armenia,99.5,70
AZE,Azerbaijan,67.7,77
BGD,Bangladesh,91.44473793,82
BRB,Barbados,99.46886269,75
BLR,Belarus,91.7,65
BLZ,Belize,95.8,71
BEN,Benin,74.5,91
BIH,Bosnia and Herzegovina,96.06316306,55
BFA,Burkina Faso,51.9,83
CMR,Cameroon,85.4,85
CAF,Central African Republic,73.3,92
TCD,Chad,50.3,84
COG,Congo,96.5,83
CRI,Costa Rica,96.1,46
CIV,Côte d'Ivoire,76.8,91
COD,Democratic Republic of the Congo,86.964574,82
DJI,Djibouti,69.5,72
DOM,Dominican Republic,95.2,63
EGY,Egypt,96.802283,93
SLV,El Salvador,95.8,52
GMB,Gambia,65.2,90
GEO,Georgia,97.4,67
GHA,Ghana,69.85465523,94
GNB,Guinea-Bissau,62.4,82
GUY,Guyana,97,70
HTI,Haiti,83.8,85
IRQ,Iraq,90.4,79
JAM,Jamaica,98,85
JOR,Jordan,98.1,90
KAZ,Kazakhstan,99.5,49
KIR,Kiribati,84.7,81
KGZ,Kyrgyzstan,99.3,57
LAO,Lao People's Democratic Republic,84.9,76
LBN,Lebanon,98.3,82
LBR,Liberia,42.692239,90
LBY,Libya,,69
MWI,Malawi,93.7,72
MRT,Mauritania,59.6,87
MDA,Republic of Moldova,98.7,76
MNG,Mongolia,98.1,47
MNE,Montenegro,97.9,69
MAR,Morocco,89.4,91
NPL,Nepal,76.31421568,82
NER,Niger,50.4,82
NGA,Nigeria,68.45071395,91
PAN,Panama,97.1,45
QAT,Qatar,96.5,50
LCA,Saint Lucia,99.51077894,68
STP,Sao Tome and Principe,94.1,80
SRB,Serbia,98.8,43
SLE,Sierra Leone,75.756222,82
SLB,Solomon Islands,66,72
SDN,Sudan,68.09702113,64
SUR,Suriname,95.67211478,86
SWZ,Swaziland,97.7,88
SYR,Syrian Arab Republic,96.56628076,89
TJK,Tajikistan,97.1,78
TGO,Togo,88.53290821,81
TTO,Trinidad and Tobago,97.7,77
TUN,Tunisia,98.1,93
UKR,Ukraine,99.8,61
URY,Uruguay,97.12308289,55
VUT,Vanuatu,77.2,84
VNM,Viet Nam,97.72538069,68
YEM,Yemen,76.416303,79
ZWE,Zimbabwe,94.9,63
